sample_id	read	original_batch_id	original_path	renamed_batch_id	renamed_path	size_bytes	sha256	renamed_utc
CJD12	R1	CJD_16_samples	raw/fastq/CJD_16_samples/312092_03-CJD12_B01_S13_R1_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD12_cjd_case_control_batch_c_R1.fastq.gz	77819442	7018b417867e5f4e71f83ade81c793700b1203ad73542284d82815f9acefa89d	2026-06-19T14:11:07Z
CJD12	R2	CJD_16_samples	raw/fastq/CJD_16_samples/312092_03-CJD12_B01_S13_R2_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD12_cjd_case_control_batch_c_R2.fastq.gz	85537480	3877542972624de4e568cff751c1cdc0178ec89470a0aaeebdbd6caa04fc3815	2026-06-19T14:11:07Z
CJD14	R1	CJD_16_samples	raw/fastq/CJD_16_samples/312092_04-CJD14_B02_S15_R1_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD14_cjd_case_control_batch_c_R1.fastq.gz	253065441	1af7502fac7450d175b5b13e08def6531787c060aca0014a50629335773295b9	2026-06-19T14:11:07Z
CJD14	R2	CJD_16_samples	raw/fastq/CJD_16_samples/312092_04-CJD14_B02_S15_R2_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD14_cjd_case_control_batch_c_R2.fastq.gz	283864165	5ccde097d6565c887c943fe081f0999da273b3c9be430fb3b4fb613ca8489e52	2026-06-19T14:11:07Z
CJD15	R1	CJD_16_samples	raw/fastq/CJD_16_samples/312092_05-CJD15_C01_S2_R1_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD15_cjd_case_control_batch_c_R1.fastq.gz	226131994	a708ea39b06763d7978658017a6c0247b158b9105d55315ec3a061bcec73912d	2026-06-19T14:11:07Z
CJD15	R2	CJD_16_samples	raw/fastq/CJD_16_samples/312092_05-CJD15_C01_S2_R2_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD15_cjd_case_control_batch_c_R2.fastq.gz	242417254	180e0cc55756e31f29ffc8d5729f30b2fd03e2c250cc136778e9e3fa5a6a170b	2026-06-19T14:11:07Z
CJD18	R1	CJD_16_samples	raw/fastq/CJD_16_samples/312092_06-CJD18_C02_S12_R1_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD18_cjd_case_control_batch_c_R1.fastq.gz	274932267	794ae1d0fa6bf54c459a736376c2c38db9e40b1c60063eaba12550c2f4707713	2026-06-19T14:11:07Z
CJD18	R2	CJD_16_samples	raw/fastq/CJD_16_samples/312092_06-CJD18_C02_S12_R2_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD18_cjd_case_control_batch_c_R2.fastq.gz	292753789	2e9be6a94f665166e356ae5f24c9be5c9a81808b4282e7fce9c24a3eb249040a	2026-06-19T14:11:07Z
CJD19	R1	CJD_16_samples	raw/fastq/CJD_16_samples/312092_07-CJD19_D01_S9_R1_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD19_cjd_case_control_batch_c_R1.fastq.gz	105942430	9fa25acd40a3dd4cbff90cddca8aa1966e028cd54388ca480e77deed860acc11	2026-06-19T14:11:07Z
CJD19	R2	CJD_16_samples	raw/fastq/CJD_16_samples/312092_07-CJD19_D01_S9_R2_001.fastq.gz	cjd_case_control_batch_c	raw/fastq/cjd_case_control_batch_c/CJD19_cjd_case_control_batch_c_R2.fastq.gz	110422276	4f44dc4e3d6649493996faccbbd172e153449dec7f9d3322c5a2c9b6bbee86d9	2026-06-19T14:11:07Z
