run_id,assay,well,sample,sample_type,sample_key,run_date,method_id,method_variant,n_total_droplets,n_accepted_droplets,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,n_mut_expected,n_wt_expected,classification_status,classification_message,method_parameters_json
2020-10-12_SNV_D178N,D178N,A01,NTC_D178N,NTC,ntc,2020-10-12,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15305,15305,15151,0,154,0,0,0,154,0,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-12_SNV_D178N,D178N,A07,CJD15-1_fr_D178N,biological_sample,15_1_fr,2020-10-12,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,17133,17057,4631,12398,7,21,76,0,28,12419,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-12_SNV_D178N,D178N,B01,WT_D178N,WT_control,wt,2020-10-12,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13319,13117,1274,11815,22,6,202,0,28,11821,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-12_SNV_D178N,D178N,B04,CJD15-27_cb_D178N,biological_sample,15_27_cb,2020-10-12,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14872,14823,6845,7941,11,26,49,0,37,7967,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-12_SNV_D178N,D178N,C01,Mut_D178N,positive_control,mut,2020-10-12,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15700,15616,11239,1980,2076,321,84,0,2397,2301,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-12_SNV_D178N,D178N,C04,CJD15-27_fr_D178N,biological_sample,15_27_fr,2020-10-12,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13022,12884,2427,10425,28,4,138,0,32,10429,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,A01,NTC_D178N,NTC,ntc,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,10394,10394,10392,0,2,0,0,0,2,0,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,A03,CJD18-6_bg_D178N,biological_sample,18_6_bg,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14022,13930,2348,11566,9,7,92,0,16,11573,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,A05,CJD18-17_bg_D178N,biological_sample,18_17_bg,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,11938,11505,1108,10245,132,20,433,0,152,10265,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,A07,CJD18-24_bg_D178N,biological_sample,18_24_bg,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13793,12582,2702,8384,1477,19,1211,0,1496,8403,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,A09,CJD18-31_bg_D178N,biological_sample,18_31_bg,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,12762,10408,824,7730,1834,20,2354,0,1854,7750,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,B01,WT_D178N,WT_control,wt,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,10440,10237,359,9862,12,4,203,0,16,9866,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,B03,CJD18-6_cb_D178N,biological_sample,18_6_cb,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14641,13644,1945,10526,1155,18,997,0,1173,10544,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,B05,CJD18-17_cb_D178N,biological_sample,18_17_cb,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,12393,11989,2496,9192,287,14,404,0,301,9206,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,B07,CJD18-24_cb_D178N,biological_sample,18_24_cb,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13849,13278,3129,9765,342,42,571,0,384,9807,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,B09,CJD18-31_cb_D178N,biological_sample,18_31_cb,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15381,14397,2855,11169,360,13,984,0,373,11182,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,C01,Mut_D178N,positive_control,mut,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,5827,5780,3194,1036,1096,454,47,0,1550,1490,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,C03,CJD18-6_fr_D178N,biological_sample,18_6_fr,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15621,15323,4050,11089,169,15,298,0,184,11104,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,C05,CJD18-17_fr_D178N,biological_sample,18_17_fr,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13888,12831,1686,10525,597,23,1057,0,620,10548,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,C07,CJD18-24_fr_D178N,biological_sample,18_24_fr,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15049,13069,1189,10961,871,48,1980,0,919,11009,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,D03,CJD18-6_hc_D178N,biological_sample,18_6_hc,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,12400,12381,1949,10424,1,7,19,0,8,10431,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,D05,CJD18-17_hc_D178N,biological_sample,18_17_hc,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,12930,12823,2481,10329,1,12,107,0,13,10341,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,D07,CJD18-24_hc_D178N,biological_sample,18_24_hc,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,12035,11902,1530,10332,9,31,133,0,40,10363,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,D09,CJD18-31_hc_D178N,biological_sample,18_31_hc,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,10005,9525,3370,6031,69,55,480,0,124,6086,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,E03,CJD18-6_sn_D178N,biological_sample,18_6_sn,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13010,12763,2198,10492,64,9,247,0,73,10501,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,E05,CJD18-17_sn_D178N,biological_sample,18_17_sn,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13175,12818,3670,8978,151,19,357,0,170,8997,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,E07,CJD18-24_sn_D178N,biological_sample,18_24_sn,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,11173,10437,2637,7621,48,131,736,0,179,7752,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,E09,CJD18-31_sn_D178N,biological_sample,18_31_sn,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,11011,9696,2122,7378,166,30,1315,0,196,7408,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,F03,CJD18-6_th_D178N,biological_sample,18_6_th,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,10976,10805,1444,9339,13,9,171,0,22,9348,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-15_SNV_D178N,D178N,F05,CJD18-17_th_D178N,biological_sample,18_17_th,2020-10-15,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,12407,12362,2336,10007,3,16,45,0,19,10023,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,A01,NTC_E200K,NTC,ntc,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14594,14594,14477,1,116,0,0,0,116,1,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,A03,CJD13-21_bg_D178N,biological_sample,13_21_bg,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13792,12739,1523,10921,250,45,1053,0,295,10966,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,A05,CJD14-24_bg_D178N,biological_sample,14_24_bg,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13917,13450,3047,9976,409,18,467,0,427,9994,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,A07,CJD20-08_bg_D178N,biological_sample,20_08_bg,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14933,14766,4034,10598,119,15,167,0,134,10613,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,A09,CJD19-29_fr_D178N,biological_sample,19_29_fr,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15716,14313,4644,7912,1742,15,1403,0,1757,7927,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,B01,WT_D178N,WT_control,wt,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,10594,10528,2192,8290,24,22,66,0,46,8312,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,B03,CJD13-21_cb_D178N,biological_sample,13_21_cb,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,16247,15406,1558,13590,236,22,841,0,258,13612,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,B05,CJD14-24_cb_D178N,biological_sample,14_24_cb,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13431,12960,3984,8361,607,8,471,0,615,8369,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,B07,CJD20-08_cb_D178N,biological_sample,20_08_cb,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13836,13097,2545,10343,190,19,739,0,209,10362,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,C01,D178N-mut,positive_control,,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15354,15291,11949,1409,1751,182,63,0,1933,1591,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,C03,CJD13-21_fr_D178N,biological_sample,13_21_fr,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,12568,12425,1515,10852,49,9,143,0,58,10861,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,C05,CJD14-24_fr_D178N,biological_sample,14_24_fr,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15282,13929,2331,10188,1393,17,1353,0,1410,10205,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,C07,CJD20-08_fr_D178N,biological_sample,20_08_fr,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15760,15740,3916,11809,1,14,20,0,15,11823,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,D03,CJD13-21_sn_D178N,biological_sample,13_21_sn,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14888,14487,2180,12183,97,27,401,0,124,12210,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,D05,CJD14-24_hc_D178N,biological_sample,14_24_hc,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,11561,11542,1720,9808,7,7,19,0,14,9815,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,D07,CJD20-08_sn_D178N,biological_sample,20_08_sn,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14810,14440,3279,10894,258,9,370,0,267,10903,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,E03,CJD13-21_th_D178N,biological_sample,13_21_th,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,15117,14781,8243,5797,719,22,336,0,741,5819,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,E05,CJD14-24_sn_D178N,biological_sample,14_24_sn,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14604,14482,665,13786,19,12,122,0,31,13798,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,E07,CJD20-08_th_D178N,biological_sample,20_08_th,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14117,14068,5556,8500,5,7,49,0,12,8507,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-22_SNV_D178N,D178N,F05,CJD14-24_th_D178N,biological_sample,14_24_th,2020-10-22,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13442,12090,156,11896,24,14,1352,0,38,11910,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-29_SNV_D178N,D178N,A01,CJD17-20_bg,biological_sample,17_20_bg,2020-10-29,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,14623,14606,2308,12276,18,4,17,0,22,12280,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-29_SNV_D178N,D178N,A05,CJD17-31_bg,biological_sample,17_31_bg,2020-10-29,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,13105,13085,1231,11839,0,15,20,0,15,11854,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
2020-10-29_SNV_D178N,D178N,A07,CJD17-32_bg,biological_sample,17_32_bg,2020-10-29,ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,9128,9090,4005,5080,3,2,38,0,5,5082,ok,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
